Result[0]=510100-a0001
Result[1]=500100-a0002
Result[2]=110100-a0003
Result[3]=310100-a0003
Result[4]=510100-a0003
Result[5]=110100-a0004
Result[6]=310100-a0004
Result[7]=510100-a0004
Result[8]=530100-a0004
Result[9]=440100-a0005
Result[10]=440400-a0006
Result[11]=442000-a0007
Result[12]=440600-a0008
Result[13]=440700-a0009
Result[14]=441900-a0010
Result[15]=441300-a0011
Result[16]=440300-a0012
Result[17]=330100-a0013
Result[18]=330200-a0014
Result[19]=330400-a0015
Result[20]=330600-a0016
Result[21]=420100-a0017
Result[22]=610100-a0018
Result[23]=120100-a0019
Result[24]=210100-a0020
Result[25]=320500-a0021
Result[26]=320200-a0022
Result[27]=320100-a0023
Result[28]=320400-a0024
Result[29]=430100-a0025
Result[30]=350200-a0026
Result[31]=530100-a0027
Result[32]=410100-a0028
Result[33]=130100-a0029
Result[34]=210200-a0030
Result[35]=520100-a0031
Result[36]=340100-a0032
Result[37]=370100-a0033
Result[38]=360100-a0034
Result[39]=370200-a0035
Result[40]=331000-a0036
Result[41]=330300-a0037
Result[42]=340200-a0038
Result[43]=350600-a0039
Result[44]=321100-a0040
Result[45]=321000-a0041
Result[46]=330700-a0042
Result[47]=320300-a0043
Result[48]=440500-a0044
Result[49]=460100-a0045
Result[50]=350100-a0046
Result[51]=350500-a0047
Result[52]=450100-a0048
Result[53]=421000-a0049
Result[54]=420600-a0050
Result[55]=420500-a0051
Result[56]=420900-a0052
Result[57]=445200-a0053
Result[58]=321200-a0054
Result[59]=320900-a0055
Result[60]=320600-a0056
Result[61]=130300-a0057
Result[62]=370600-a0058
Result[63]=450200-a0059
Result[64]=410300-a0060
Result[65]=441200-a0061
Result[66]=441800-a0062
Result[67]=440800-a0063
Result[68]=340500-a0064
Result[69]=130200-a0065
Result[70]=140100-a0068
Result[71]=220100-a0075
Result[72]=500100-a0096
Result[73]=441500-a0077
